id,trial,1,2,3,4,Spreadsheet,bug_id
10937326.0,4.0,21211,21221,11211,21111,Spreadsheet35,1
10937326.0,5.0,11221,11211,11121,11111,Spreadsheet35,1
10937326.0,6.0,11211,21221,11221,21121,Spreadsheet35,2
10937326.0,7.0,21221,11221,11121,21121,Spreadsheet35,1
10937326.0,8.0,11221,11111,21221,21121,Spreadsheet35,1
10937326.0,9.0,11121,21111,21121,11111,Spreadsheet35,2
10937326.0,10.0,21211,11121,11221,21221,Spreadsheet35,1
10937343.0,1.0,11211,21221,11221,21211,Spreadsheet21,2
10937343.0,2.0,11221,11211,21211,21221,Spreadsheet21,1
10937343.0,3.0,21121,21221,11121,11221,Spreadsheet21,2
10937343.0,4.0,11211,11221,21221,21211,Spreadsheet21,2
10937343.0,5.0,21211,21111,11211,11111,Spreadsheet21,1
10937343.0,6.0,11111,21111,11121,21121,Spreadsheet21,1
10937343.0,7.0,11211,21211,21221,11221,Spreadsheet21,1
10937343.0,8.0,11221,21211,11211,21221,Spreadsheet21,1
10937343.0,9.0,11111,11121,21121,21111,Spreadsheet21,2
10937343.0,10.0,21121,21221,11221,11121,Spreadsheet21,2
10937347.0,1.0,11211,11111,21111,11121,Spreadsheet37,2
10937347.0,2.0,11211,21111,11111,21211,Spreadsheet37,1
10937347.0,3.0,21111,21211,11211,11111,Spreadsheet37,1
10937347.0,4.0,21211,11211,21111,11111,Spreadsheet37,1
10937347.0,5.0,11121,11221,21121,21221,Spreadsheet37,2
10937347.0,6.0,11211,21211,11111,21111,Spreadsheet37,2
10937347.0,7.0,11121,11221,21121,21221,Spreadsheet37,2
10937347.0,8.0,11211,21211,21111,11111,Spreadsheet37,1
10937347.0,9.0,21221,11221,11121,21121,Spreadsheet37,2
10937347.0,10.0,11211,21211,11221,21221,Spreadsheet37,1
10937353.0,1.0,21221,11221,11211,21211,Spreadsheet25,2
10937353.0,2.0,11221,21211,11211,21121,Spreadsheet25,2
10937353.0,3.0,11211,11111,11221,11121,Spreadsheet25,2
10937353.0,4.0,21221,11121,11221,11211,Spreadsheet25,1
10937353.0,5.0,11221,21121,21221,21211,Spreadsheet25,2
10937353.0,6.0,21111,11121,21221,11211,Spreadsheet25,2
10937353.0,7.0,21221,21211,11221,11121,Spreadsheet25,1
10937353.0,8.0,21111,21211,11211,11111,Spreadsheet25,1
10937353.0,9.0,21221,11221,21121,11211,Spreadsheet25,1
10937353.0,10.0,11121,21221,11111,11221,Spreadsheet25,1
10937365.0,1.0,21121,21211,21111,21221,Spreadsheet47,1
10937365.0,2.0,11211,11111,11221,11121,Spreadsheet47,2
10937365.0,3.0,11211,11221,11111,11121,Spreadsheet47,2
10937365.0,4.0,11211,21111,21211,21221,Spreadsheet47,1
10937365.0,5.0,11111,21121,21111,21211,Spreadsheet47,1
10937365.0,6.0,21221,11221,11211,11121,Spreadsheet47,2
10937365.0,7.0,21121,21111,21211,11111,Spreadsheet47,1
10937365.0,8.0,21121,21211,21111,11111,Spreadsheet47,1
10937365.0,9.0,21221,11121,11211,11221,Spreadsheet47,2
10937365.0,10.0,21221,11211,11221,11121,Spreadsheet47,2
10937368.0,1.0,21121,11121,21111,21221,Spreadsheet3,2
10937368.0,2.0,11211,11111,21211,11121,Spreadsheet3,1
10937368.0,3.0,11211,21211,11111,11121,Spreadsheet3,1
10937368.0,4.0,11211,21211,11111,21111,Spreadsheet3,1
10937368.0,5.0,21121,11121,21221,11111,Spreadsheet3,2
10937368.0,6.0,21121,21221,11221,11121,Spreadsheet3,2
10937368.0,7.0,11111,21211,11211,21111,Spreadsheet3,1
10937368.0,8.0,11211,21211,21111,11111,Spreadsheet3,1
10937368.0,9.0,11121,21121,11221,21221,Spreadsheet3,2
10937368.0,10.0,21121,11121,21221,11111,Spreadsheet3,2
10937377.0,1.0,21211,11221,21221,11211,Spreadsheet5,2
