id,trial,input,label,Spreadsheet,block
10937462.0,95.0,11121,1,Spreadsheet40,7.0
10937462.0,96.0,11121,1,Spreadsheet40,7.0
10937462.0,97.0,11121,0,Spreadsheet40,7.0
10937462.0,98.0,21211,0,Spreadsheet40,7.0
10937462.0,99.0,11121,0,Spreadsheet40,8.0
10937462.0,100.0,21211,0,Spreadsheet40,8.0
10937462.0,101.0,11121,1,Spreadsheet40,8.0
10937462.0,102.0,11111,1,Spreadsheet40,8.0
10937462.0,103.0,11121,1,Spreadsheet40,8.0
10937462.0,104.0,21211,0,Spreadsheet40,8.0
10937462.0,105.0,21211,1,Spreadsheet40,8.0
10937462.0,106.0,11121,1,Spreadsheet40,8.0
10937462.0,107.0,21211,0,Spreadsheet40,8.0
10937462.0,108.0,11121,1,Spreadsheet40,8.0
10937462.0,109.0,21121,1,Spreadsheet40,8.0
10937462.0,110.0,11211,0,Spreadsheet40,8.0
10937462.0,111.0,21221,0,Spreadsheet40,8.0
10937462.0,112.0,21211,0,Spreadsheet40,8.0
10937462.0,113.0,11121,1,Spreadsheet40,9.0
10937462.0,114.0,21221,0,Spreadsheet40,9.0
10937462.0,115.0,21121,1,Spreadsheet40,9.0
10937462.0,116.0,11111,1,Spreadsheet40,9.0
10937462.0,117.0,21211,0,Spreadsheet40,9.0
10937462.0,118.0,11121,1,Spreadsheet40,9.0
10937462.0,119.0,11121,1,Spreadsheet40,9.0
10937462.0,120.0,21211,0,Spreadsheet40,9.0
10937462.0,121.0,21211,0,Spreadsheet40,9.0
10937462.0,122.0,21211,1,Spreadsheet40,9.0
10937462.0,123.0,11121,0,Spreadsheet40,9.0
10937462.0,124.0,11121,1,Spreadsheet40,9.0
10937462.0,125.0,11211,0,Spreadsheet40,9.0
10937462.0,126.0,21211,0,Spreadsheet40,9.0
10937462.0,127.0,21211,0,Spreadsheet40,10.0
10937462.0,128.0,11121,0,Spreadsheet40,10.0
10937462.0,129.0,11121,1,Spreadsheet40,10.0
